"","NY","Cle","Uta","Por","Sas","GSW","Mia","ORL","Ind","Dal","Bkn","Bos","Det","Tor","Cha","Mil","Min","Mem","NO","Den","Okc","Phi","Sac","Pho","Hou","Lal","Was","Atl","Chi","Lac"
"Min",-0.015332806736537,0.0251209630179531,0.0183627983154177,0.0212064223439254,0.0500965726150257,0.0905534944983362,-0.0174748804736813,-0.0174694659849773,0.0415187984889306,0.0178014795035538,-0.0111806203020559,0.0159529116827302,-0.0344550350924117,0.0331044601977846,-0.0152894245489829,-0.00890633114205557,-4.77727625046153e-05,-0.0176122918978452,0.0120626112290997,0.0193588740068997,-0.0422019476342991,-0.0242802819057615,0.0289461323793105,-0.0358616909198073,0.0052863262999503,-0.022333441056874,0.0433612669346591,-0.044232835490825,-0.027296105160062,0.0544436106208877
"Bkn",-0.0169524717135042,0.0235012980409858,0.0167431333384504,0.0195867573669582,0.0484769076380584,0.0889338295213689,-0.0190945454506485,-0.0190891309619446,0.0398991335119634,0.0161818145265866,-0.0128002852790232,0.014333246705763,-0.036074700069379,0.0314847952208173,-0.0169090895259502,-0.0105259961190228,-0.00166743773947188,-0.0192319568748124,0.0104429462521324,0.0177392090299324,-0.0438216126112664,-0.0258999468827288,0.0273264674023432,-0.0374813558967745,0.00366666132298304,-0.0239531060338412,0.0417416019576919,-0.0458525004677923,-0.0289157701370293,0.0528239456439205
"NY",-0.0579447210592424,-0.0174909513047524,-0.0242491160072878,-0.02140549197878,0.00748465829232019,0.0479415801756307,-0.0600867947963868,-0.0600813803076828,-0.00109311583377487,-0.0248104348191517,-0.0537925346247614,-0.0266590026399753,-0.0770669494151172,-0.00950745412492089,-0.0579013388716884,-0.0515182454647611,-0.0426596870852101,-0.0602242062205506,-0.0305493030936058,-0.0232530403158058,-0.0848138619570046,-0.066892196228467,-0.013665781943395,-0.0784736052425127,-0.0373255880227552,-0.0649453553795794,0.000749352611953626,-0.0868447498135305,-0.0699080194827675,0.0118316962981823
"ORL",-0.0209158033475943,0.0195379664068957,0.0127798017043603,0.0156234257328681,0.0445135760039683,0.0849704978872788,-0.0230578770847386,-0.0230524625960347,0.0359358018778733,0.0122184828924965,-0.0167636169131133,0.0103699150716729,-0.040038031703469,0.0275214635867273,-0.0208724211600402,-0.0144893277531129,-0.00563076937356195,-0.0231952885089025,0.00647961461804236,0.0137758773958424,-0.0477849442453565,-0.0298632785168188,0.0233631357682531,-0.0414446875308646,-0.000296670311107035,-0.0279164376679313,0.0377782703236018,-0.0498158321018823,-0.0328791017711193,0.0488606140098304
"Ind",-0.0399693307736826,0.000484438980807401,-0.006273725721728,-0.00343010169322023,0.02546004857788,0.0659169704611905,-0.0421114045108269,-0.042105990022123,0.0168822744517849,-0.00683504453359186,-0.0358171443392016,-0.00868361235441546,-0.0590915591295574,0.00846793616063891,-0.0399259485861286,-0.0335428551792013,-0.0246842967996503,-0.0422488159349908,-0.012573912808046,-0.00527765003024599,-0.0668384716714448,-0.0489168059429072,0.0043096083421648,-0.0604982149569529,-0.0193501977371954,-0.0469699650940196,0.0187247428975134,-0.0688693595279707,-0.0519326291972077,0.0298070865837421
"Phi",-0.044513372579644,-0.00405960282515393,-0.0108177675276893,-0.00797414349918157,0.0209160067719187,0.0613729286552291,-0.0466554463167883,-0.0466500318280844,0.0123382326458236,-0.0113790863395532,-0.040361186145163,-0.0132276541603768,-0.0636356009355187,0.00392389435467758,-0.0444699903920899,-0.0380868969851626,-0.0292283386056116,-0.0467928577409522,-0.0171179546140073,-0.00982169183620733,-0.0713825134774061,-0.0534608477488685,-0.000234433463796536,-0.0650422567629143,-0.0238942395431567,-0.051514006899981,0.0141807010915521,-0.073413401333932,-0.056476671003169,0.0252630447777807
"Pho",-0.0165865577955377,0.0238672119589524,0.0171090472564169,0.0199526712849247,0.0488428215560249,0.0892997434393354,-0.018728631532682,-0.0187232170439781,0.0402650474299299,0.0165477284445531,-0.0124343713610567,0.0146991606237295,-0.0357087861514124,0.0318507091387839,-0.0165431756079836,-0.0101600822010563,-0.00130152382150535,-0.0188660429568459,0.010808860170099,0.018105122947899,-0.0434556986932998,-0.0255340329647622,0.0276923813203097,-0.037115441978808,0.00403257524094957,-0.0235871921158747,0.0421075158756584,-0.0454865865498257,-0.0285498562190627,0.053189859561887
"Por",-0.0319692314581528,0.00848453829633722,0.00172637359380182,0.00456999762230959,0.0334601478934098,0.0739170697767203,-0.0341113051952971,-0.0341058907065932,0.0248823737673148,0.00116505478193796,-0.0278170450236718,-0.000683513038885642,-0.0510914598140276,0.0164680354761687,-0.0319258492705988,-0.0255427558636714,-0.0166841974841205,-0.034248716619461,-0.00457381349251616,0.00272244928528383,-0.058838372355915,-0.0409167066273773,0.0123097076576946,-0.0524981156414231,-0.0113500984216656,-0.0389698657784898,0.0267248422130433,-0.0608692602124408,-0.0439325298816779,0.0378071858992719
"Sac",-0.00592107501891109,0.034532694735579,0.0277745300330435,0.0306181540615513,0.0595083043326515,0.099965226215962,-0.00806314875605539,-0.00805773426735147,0.0509305302065565,0.0272132112211797,-0.00176888858443007,0.0253646434003561,-0.0250433033747858,0.0425161919154105,-0.00587769283135703,0.000505400575570297,0.00936395895512126,-0.00820056018021928,0.0214743429467256,0.0287706057245256,-0.0327902159166732,-0.0148685501881356,0.0383578640969363,-0.0264499592021814,0.0146980580175762,-0.0129217093392481,0.052772998652285,-0.0348211037731991,-0.0178843734424361,0.0638553423385136
"Sas",-0.0755915743621168,-0.0351378046076268,-0.0418959693101622,-0.0390523452816544,-0.0101621950105542,0.0302947268727563,-0.0777336480992611,-0.0777282336105572,-0.0187399691366493,-0.0424572881220261,-0.0714393879276358,-0.0443058559428497,-0.0947138027179916,-0.0271543074277953,-0.0755481921745628,-0.0691650987676355,-0.0603065403880845,-0.077871059523425,-0.0481961563964802,-0.0408998936186802,-0.102460715259879,-0.0845390495313414,-0.0313126352462694,-0.0961204585453871,-0.0549724413256296,-0.0825922086824538,-0.0168975006909208,-0.104491603116405,-0.0875548727856419,-0.00581515700469214
"Okc",-0.0349094840890779,0.00554428566541214,-0.00121387903712327,0.0016297449913845,0.0305198952624847,0.0709768171457952,-0.0370515578262222,-0.0370461433375183,0.0219421211363897,-0.00177519784898712,-0.0307572976545969,-0.00362376566981072,-0.0540317124449526,0.0135277828452437,-0.0348661019015238,-0.0284830084945965,-0.0196244501150456,-0.0371889692503861,-0.00751406612344124,-0.000217803345641254,-0.0617786249868401,-0.0438569592583024,0.00936945502676953,-0.0554383682723482,-0.0142903510525906,-0.0419101184094149,0.0237845895821182,-0.0638095128433659,-0.0468727825126029,0.0348669332683468
