"","WAS","CLE","BOS","MIA","DAL","LAL","IND","TOR","DEN","PHI","DET","HOU","CHI","SAC","SAN","New.Orleans.Hornets","UTA","GS","PHO","LAC","MEM","POR","BKN","NY","OKC","Charlotte.Bobcats","ORL","MIL","ATL","MIN"
"LAL",-0.0222257568539652,-0.0589953485061916,0.00867595858729104,0.084722036136174,0.0476911105082189,0.0262616050915309,-0.0110157732320672,0.0215550880012917,-0.0330729152002569,-0.00330423673600218,-0.0647728310307119,-0.0118082519862198,-0.0325186913570353,-0.0122124929348385,0.0615151675478452,0.0159053310676526,0.0129298738257124,0.0663455133396371,-0.0276082136779166,0.066769091800571,-0.0347924846934555,-0.00885084705291306,0.0107435362757745,0.00492116780779476,0.0486011698403424,-0.0760009723774334,-0.0051534608072949,-0.0686809945718773,0.018415478794483,-0.0536256988654032
"MIA",-0.0709923096660066,-0.107761901318233,-0.0400905942247504,0.0359554833241326,-0.00107544230382246,-0.0225049477205105,-0.0597823260441086,-0.0272114648107497,-0.0818394680122983,-0.0520707895480436,-0.113539383842753,-0.0605748047982612,-0.0812852441690767,-0.0609790457468799,0.0127486147358038,-0.0328612217443888,-0.035836678986329,0.0175789605275957,-0.076374766489958,0.0180025389885296,-0.0835590375054969,-0.0576173998649545,-0.0380230165362669,-0.0438453850042466,-0.000165382971698999,-0.124767525189475,-0.0539200136193363,-0.117447547383919,-0.0303510740175584,-0.102392251677445
"MIL",-0.0789007030192304,-0.115670294671457,-0.0479989875779741,0.0280470899709088,-0.00898383565704624,-0.0304133410737343,-0.0676907193973324,-0.0351198581639735,-0.0897478613655221,-0.0599791829012674,-0.121447777195977,-0.068483198151485,-0.0891936375223005,-0.0688874391001037,0.00484022138258,-0.0407696150976126,-0.0437450723395528,0.00967056717437193,-0.0842831598431817,0.0100941456353058,-0.0914674308587207,-0.0655257932181782,-0.0459314098894907,-0.0517537783574704,-0.00807377632492278,-0.132675918542699,-0.0618284069725601,-0.125355940737143,-0.0382594673707822,-0.110300645030668
"MIN",4.32508144928355e-05,-0.0367263408377336,0.0309449662557491,0.106991043804632,0.069960118176677,0.0485306127599889,0.0112532344363908,0.0438240956697497,-0.0108039075317989,0.0189647709324558,-0.0425038233622539,0.0104607556822382,-0.0102496836885773,0.0100565147336195,0.0837841752163032,0.0381743387361106,0.0351988814941704,0.0886145210080951,-0.00533920600945856,0.089038099469029,-0.0125234770249975,0.0134181606155449,0.0330125439442325,0.0271901754762528,0.0708701775088004,-0.0537319647089754,0.0171155468611631,-0.0464119869034193,0.040684486462941,-0.0313566911969452
"BKN",-0.00347760813795733,-0.0402471997901838,0.0274241073032989,0.103470184852182,0.0664392592242268,0.0450097538075387,0.00773237548394065,0.0403032367172995,-0.0143247664842491,0.0154439119800057,-0.046024682314704,0.00693989672978805,-0.0137705426410275,0.00653565578116935,0.080263316263853,0.0346534797836604,0.0316780225417202,0.0850936620556449,-0.00886006496190873,0.0855172405165788,-0.0160443359774477,0.00989730166309478,0.0294916849917823,0.0236693165238026,0.0673493185563502,-0.0572528236614255,0.0135946879087129,-0.0499328458558695,0.0371636275104908,-0.0348775501493954
"NY",-0.0259374478852189,-0.0627070395374454,0.00496426755603731,0.0810103451049203,0.0439794194769652,0.0225499140602771,-0.0147274642633209,0.0178433969700379,-0.0367846062315106,-0.00701592776725591,-0.0684845220619656,-0.0155199430174735,-0.0362303823882891,-0.0159241839660922,0.0578034765165914,0.0121936400363988,0.00921818279445864,0.0626338223083834,-0.0313199047091703,0.0630574007693173,-0.0385041757247092,-0.0125625380841668,0.00703184524452075,0.00120947677654103,0.0448894788090887,-0.0797126634086871,-0.00886515183854863,-0.0723926856031311,0.0147037877632293,-0.057337389896657
"ORL",-0.0126512124353423,-0.0494208040875687,0.0182505030059139,0.0942965805547969,0.0572656549268418,0.0358361495101538,-0.00144122881344429,0.0311296324199146,-0.023498370781634,0.00627030768262072,-0.055198286612089,-0.0022337075675969,-0.0229441469384124,-0.0026379485162156,0.0710897119664681,0.0254798754862755,0.0225044182443353,0.07592005775826,-0.0180336692592937,0.0763436362191939,-0.0252179402748326,0.000723697365709836,0.0203180806943974,0.0144957122264177,0.0581757142589653,-0.0664264279588105,0.004421083611328,-0.0591064501532544,0.0279900232131059,-0.0440511544467804
"IND",-0.0875036711558276,-0.124273262808054,-0.0566019557145714,0.0194441218343116,-0.0175868037936435,-0.0390163092103316,-0.0762936875339296,-0.0437228263005708,-0.0983508295021193,-0.0685821510378646,-0.130050745332574,-0.0770861662880822,-0.0977966056588978,-0.0774904072367009,-0.00376274675401726,-0.0493725832342099,-0.0523480404761501,0.00106759903777467,-0.092886127979779,0.00149117749870856,-0.100070398995318,-0.0741287613547755,-0.054534378026088,-0.0603567464940677,-0.01667674446152,-0.141278886679296,-0.0704313751091573,-0.13395890887374,-0.0468624355073794,-0.118903613167266
"PHI",-0.0303255707600208,-0.0670951624122472,0.000576144681235445,0.0766222222301184,0.0395912966021633,0.0181617911854753,-0.0191155871381228,0.0134552740952361,-0.0411727291063125,-0.0114040506420578,-0.0728726449367675,-0.0199080658922754,-0.0406185052630909,-0.0203123068408941,0.0534153536417896,0.00780551716159698,0.00483005991965677,0.0582456994335815,-0.0357080275839722,0.0586692778945154,-0.0428922985995111,-0.0169506609589687,0.00264372236971888,-0.00317864609826084,0.0405013559342868,-0.084100786283489,-0.0132532747133505,-0.0767808084779329,0.0103156648884274,-0.0617255127714588
"PHO",-0.00205695876007259,-0.038826550412299,0.0288447566811836,0.104890834230067,0.0678599086021115,0.0464304031854235,0.0091530248618254,0.0417238860951843,-0.0129041171063643,0.0168645613578904,-0.0446040329368193,0.00836054610767279,-0.0123498932631427,0.0079563051590541,0.0816839656417378,0.0360741291615452,0.033098671919605,0.0865143114335297,-0.00743941558402398,0.0869378898944636,-0.0146236865995629,0.0113179510409795,0.0309123343696671,0.0250899659016874,0.068769967934235,-0.0558321742835408,0.0150153372865977,-0.0485121964779847,0.0385842768883756,-0.0334569007715107
